|||||||

351 East 74th Street,2nd Floor,(Betw 1st & 2nd Avenues) 10021
48 East 80th Street, 2nd Floor Library, Ring Bell Next to Sign.,(Betw Park & Madison Avenues) 10021Wheelchair access
184 East 76th Street, Basement,(Betw Lexington & 3rd Avenues - Ring Bell) NY 10021Wheelchair access
351 East 74th Street, 2nd Floor,(Betw. 1st & 2nd Avenues) 10021
1393 York Avenue,(@ 74th Street) 10021
520 Park Avenue,(@ 60th Street) NY 10021Wheelchair access
337 E. 74th St.,(Between First and Second Avenues) 10021Wheelchair access
1157 Lexington Avenue,(between 79th and 80th Streets) 10075Wheelchair access
420 East 76th Street,(Betw 1st & York Avenues) NY 10021Wheelchair access
230 East 90th Street, Downstairs,(Betw 2nd & 3rd Avenues) NY 10128
65 East 89th Street, Basement,(@ Park & Madison Avenues) NY 10128
865 Madison Avenue, Basement,(@ East 71st Street) NY 10021
1296 Lexington Avenue, Basement,(Enter through red door on Lexington Avenue, Betw 87th & 88th Streets) NY 10128
351 East 74th Street, Mazaryk Room,(Betw. 1st & 2nd Avenues) NY 10021
1157 Lexington Avenue, 1st Floor,(@ East 80th Street) 10028
351 East 74th Street, Mazaryk Room,(Betw. 1st & 2nd Avenues) 10021
351 East 74th Street, 2nd Floor,(Betw. 1st & 2nd Avenues) NY 10021
65 East 89th Street,(Betw Madison & Park Avenues) NY 10128
65 East 89th Street - Rectory basement,10128
351 East 74th Street, 2nd Floor,(Betw. 1st & 2nd Avenues ) 10021
135 East 96th Street,(between Lexington and Park Avenues) NY 10128
351 East 74th Street, 2nd Floor Kitchen,(Betw. 1st & 2nd Avenues) 10021
2 East 90th Street,(Betw 5th & Madison Avenues) NY 10128
1157 Lexington Avenue,(Betw. 79th & 80th Streets) 10028Wheelchair access
420 East 76th Street,(Betw. 1st & YorkAvenues) NY 10021Wheelchair access
351 East 74th Street, 2nd Floor,(Betw.1st & 2nd Avenues) NY 10021
351 East 74th Street, 2nd Floor Chapel Room,(Betw. 1st & 2nd Avenues) NY 10021
1285 Madison Avenue,10128
48 East 84th Street,(Betw Madison & Park Avenues, On Saturday enter via Park Avenue Entrance) NY 10028Wheelchair access
408 East 82nd Street,Rectory,(Betw 1st & York Avenues) NY 10028
351 East 74th Street, 2nd Floor Front Room,(Betw. 1st & 2nd Avenues) 10021
351 East 74th Street,2nd Floor - Front Room,(Betw 1st & 2nd Avenues) 10021
125 East 85th Street, Ramaz School Entrance,(@ Lexington Avenue) NY 10028Wheelchair access
351 East 74th Street,2nd Floor, Library Room,(Betw. 1st & 2nd Avenues) 10021
351 East 74th Street, 2nd Floor Kitchen,(Betw. 1st & 2nd Avenues) 10021
865 Madison Avenue, 3rd Floor,(Betw. 71st & 72nd Streets) 10021Wheelchair access
62 East 92nd Street, Basement,(Betw Madison & Park Avenues) NY 10128Wheelchair access
351 East 74th Street, 2nd Floor Front Room,(Betw. 1st & 2nd Avenues) NY 10021
420 East 87th Street, Basement,(Betw 1st & York Avenues) Enter thru Red Door NY 10128
593 Park Avenue,5th Floor Library,(@ 64th Street) 10128Wheelchair access
65 East 89th Street, Ring Red Buzzer, Chelsea Room,(Betw. Park & Madison Avenues) 10128Wheelchair access
865 Madison Avenue,Basement,(@ East 71st Street) NY 10021
Church of the Good Shepard, 543 Main St., Basement 10044,Wheelchair access
413 East 79th Street,Basement,(Betw 1st & York Avenues) NY 10021
351 East 74th Street, Sanctuary,(Betw. 1st & 2nd Avenues) NY 10021
310 East 67th Street, Auditorium,(Betw. 1st & 2nd Avenues) NY 10065Wheelchair access
331 E 70th St,(Betw 1st & 2nd Avenues) NY 10021
411 East 68th Street,(Betw. York & 1st Avenues) NY 10021Wheelchair access
2 East 90th Street, Basement,(Enter thru the Family Chapel on 5th Avenue) NY 10128
341 East 87th Street,Choir Room (Ring Bell),(Btw. 1st & 2nd Avenues) NY 10128
351 East 74th Street,2nd Floor Museum Room,(Betw 1st & 2nd Avenues) NY 10021
351 East 74th Street, 2nd Floor Kitchen,(Betw. 1st & 2nd Avenues) NY 10021
351 East 74th Street,2nd Floor,Masaryk Room,(Betw 1st & 2nd Avenues) NY 10021
